year,catch
1973,1528
1974,1372
1975,1073
1976,3368
1977,3033
1978,3639
1979,3207
1980,1805
1981,1508
1982,1358
1983,952
1984,714
1985,1148
1986,755
1987,2356
1988,1588
1989,1624
1990,1946
1991,1768
1992,1825
1993,1309
1994,1941
